1090,47
1086,53
1070,62
1056,73
1047,81
1040,87
1026,96
1008,111
994,123
981,133
973,138
963,144
955,155
947,160
932,167
927,175
908,189
895,204
889,208
880,217
857,230
841,244
832,249
823,258
813,266
808,272
783,297
775,304
767,311
757,318
751,324
744,328
714,348
690,363
676,369
664,374
643,379
634,380
634,385
650,385
663,381
672,380
686,376
701,367
712,362
724,356
741,341
745,337
753,330
761,323
772,316
779,310
798,298
803,293
808,289
817,284
822,278
832,270
835,267
840,262
847,254
854,254
861,243
867,238
873,233
880,227
888,223
902,211
909,203
916,200
923,193
931,187
939,184
944,178
953,171
961,165
966,164
973,156
982,150
996,138
1018,120
1030,114
1045,96
1050,91
1054,87
1064,83
1071,75
1073,75
1078,70
1085,65
1091,61
1093,61
