9,408
18,408
26,405
38,403
46,403
74,400
88,396
111,392
133,390
146,386
161,386
202,383
217,382
237,382
264,381
293,383
326,383
344,383
356,383
370,383
381,381
442,383
453,382
533,377
575,375
589,377
625,378
636,378
650,383
665,383
720,354
731,348
744,339
749,333
760,325
767,320
777,315
787,305
796,297
811,284
823,278
829,272
838,266
852,255
864,244
869,239
881,232
890,223
897,215
906,209
914,203
926,192
935,187
944,178
956,170
963,165
974,160
982,154
988,146
1000,135
1009,130
1021,115
1053,93
1085,65
1089,61
