7,429
15,428
30,428
35,424
49,420
62,421
77,418
92,415
99,414
106,411
116,411
133,406
149,410
225,416
236,415
294,408
313,408
349,404
398,400
407,401
399,373
399,363
400,354
398,343
393,331
386,321
386,313
378,298
369,284
367,276
357,271
357,262
353,258
349,249
348,248
345,242
342,235
338,233
336,220
333,215
329,211
326,206
325,202
324,201
321,193
316,188
312,182
306,176
306,169
303,165
295,155
293,144
292,142
288,139
286,133
284,124
279,110
270,105
266,101
256,89
242,75
234,69
228,67
221,52
217,48
212,44
209,38
206,31
199,34
193,39
189,45
179,55
165,66
157,71
145,76
145,86
150,93
155,105
157,116
157,125
164,135
167,141
167,153
173,166
177,172
180,182
185,190
187,199
190,202
186,205
172,212
165,219
153,225
144,228
139,232
129,235
125,230
125,221
121,211
117,207
113,199
110,190
107,179
104,171
98,165
98,158
98,149
98,142
99,131
97,117
98,107
97,99
90,93
87,93
78,93
69,92
59,85
50,85
40,79
31,79
17,72
9,73
6,73
0,71
