6,409
13,409
22,407
32,405
41,403
46,403
58,400
63,400
75,398
84,397
87,397
94,396
101,396
107,395
114,392
128,391
135,388
142,387
151,387
158,386
167,386
178,384
185,382
189,383
195,383
201,383
207,383
216,380
231,382
239,383
245,383
251,382
264,382
273,382
280,382
287,382
294,382
335,383
344,382
357,383
396,384
401,384
415,382
442,383
462,379
468,375
476,376
487,375
492,375
538,375
564,376
574,376
603,376
618,378
638,380
641,370
649,348
650,345
651,341
655,334
659,326
660,321
665,313
670,307
673,304
678,297
681,290
686,288
690,284
696,276
700,271
707,261
715,252
721,247
732,229
737,226
741,218
751,209
753,203
759,197
774,179
782,165
790,158
791,152
799,136
806,127
815,113
817,103
820,95
823,77
827,63
827,58
829,53
831,38
831,31
832,22
836,13
835,9
834,7
