1089,49
1077,56
1060,70
1053,78
1036,89
1028,93
1003,115
998,120
990,125
981,130
971,142
957,151
948,157
944,161
928,173
911,185
907,189
891,201
873,223
841,244
837,249
825,255
813,266
809,273
804,279
798,283
787,293
781,298
776,303
768,308
759,313
732,337
727,343
719,347
709,352
696,360
672,370
667,374
653,378
643,379
637,379
632,390
633,401
633,410
633,421
636,431
636,440
636,451
637,460
640,470
646,475
647,485
656,502
665,521
672,534
681,554
683,562
687,565
687,567
686,570
