834,28
829,48
826,60
819,101
813,111
808,121
796,144
773,175
770,182
746,207
745,214
731,230
718,243
700,274
692,281
687,284
679,290
674,301
668,311
662,316
658,330
650,335
649,344
642,361
641,369
639,378
605,377
575,373
537,374
525,373
506,372
493,373
474,372
466,374
460,378
458,383
467,387
476,391
494,393
490,390
497,390
507,387
525,387
537,388
566,388
576,386
585,386
617,383
627,385
635,386
647,387
657,386
667,381
681,376
707,367
715,363
720,357
733,346
738,339
751,329
769,321
771,335
770,345
770,362
777,379
799,376
840,377
883,383
897,383
923,384
942,380
1092,444
