501,4
511,10
520,19
530,26
547,46
551,57
557,63
560,73
565,84
570,94
574,104
579,119
584,131
582,164
566,173
551,172
514,177
499,177
481,182
475,185
465,189
457,192
438,199
428,202
414,212
385,230
372,237
362,245
353,249
361,275
367,290
378,304
383,316
397,341
401,364
401,374
392,382
373,383
360,383
344,383
335,383
323,383
313,383
271,382
241,383
228,382
211,380
200,381
173,384
162,386
145,386
123,393
113,393
100,393
82,394
69,399
39,404
29,407
12,407
4,407
3,411
2,412
