14,72
20,77
32,79
42,83
80,94
111,91
127,86
134,85
146,75
165,70
183,56
186,52
191,45
200,36
216,46
237,69
255,86
269,104
280,123
291,144
298,155
307,174
329,214
335,223
339,226
339,236
391,227
417,214
428,207
446,199
479,184
526,175
552,175
569,171
651,166
766,190
742,217
738,221
733,230
725,236
723,242
715,251
709,257
702,267
696,277
686,287
672,305
665,314
652,331
647,345
642,367
639,374
634,387
637,427
637,432
637,437
637,446
641,462
641,473
653,492
657,505
662,510
662,518
666,526
675,542
678,550
683,555
687,565
